Unique ID,Coral species,Phylo ID gene,ITS2 Phylo,Phylotype TT Score (Rk),Colony Number,Sampling Location,Realm (Spalding 2007),Province (Spalding 2007),Ecoregion (Spalding 2007),Depth (m),Min Depth (m),Max Depth (m),Lat,Long,Conditions,Database,Phylotype GenBank  # ,Notes,Phylotype ID Methods,Citation,Phylotype Survey Date,Survey begin mo,Survey begin year,Survey end mo,Survey end year,Symbiodinium in propagules,Mode of larval development,Sexual system,,,,
X33,Echinopora hirsutissima,ITS2,C1,21.72485509,NA,Vohemar,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,,1,30,-13.4,50,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,9,2001,9,2001,No,spawner,hermaphrodite,,,,
8819,Echinopora lamellosa,ITS2,C1,21.72485509,NA,Heron Island,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern GBR,3,3,3,-23,152,Normal Cond,Original pub,,,DGGE of ITS2 & sequencing,LaJeunesse 2003 LimnolOceanogr Low symbiont diversity in southern Great Barrier Reef,Feb and March 2002,2,2002,3,2002,No,spawner,hermaphrodite,,,,
X34,Euphyllia divisa,ITS2,C1,21.72485509,NA,Rib Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10-17,10,17,-18.478069,146.870659,Normal Cond,Original pub,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,NA,,,,
8872,Eusmilia fastigiata,ITS2,C1,21.72485509,1,"Puerto Morelos, Yucatan, Mexico",Tropical Atlantic,Tropical Northwestern Atlantic,Southern Gulf of Mexico,12,12,12,21,-87,Normal Cond,Riddle 2011,NA,,DGGE of ITS2 & sequencing,LaJeunesse 2002 MarBiol Diversity and community structure of symbiotic dinoflagellates,"Aug 1998, Sep 1999",8,1998,9,1999,No,spawner,gonochore,,,,
2938,Favia fragum,ITS2,C1,21.72485509,1,"Puerto Morelos, Yucatan, Mexico",Tropical Atlantic,Tropical Northwestern Atlantic,Southern Gulf of Mexico,1.5,2,2,21,-87,Normal Cond,Aquarist,,,DGGE of ITS2 & sequencing,LaJeunesse 2002 MarBiol Diversity and community structure of symbiotic dinoflagellates,,8,1998,9,1999,Yes,brooder,hermaphrodite,,,,
13374,Favites abdita,ITS2,C1,21.72485509,NA,The Arch (Lord Howe Island),Central Indo-Pacific,Lord Howe and Norfolk Islands,Lord Howe and Norfolk Islands,5,5,5,-31.533056,-159.503611,Normal Conditions,Direct From Source,,,DGGE of ITS2 & sequencing,Wicks 2010 CoralReefs Local endemicity and high diversity characterise high-latitudecoral–Symbiodiniumpartnerships,,1,2007,1,2007,No,spawner,hermaphrodite,,,,
9943,Favites complanata,ITS2,C1,21.72485509,NA,"Magnetic Island, GBR",Central Indo-Pacific,Northeast Australian Shelf,Central and Southern GBR,NA,NA,NA,-19.136908,146.842186,Normal Cond,Original pub,,ITS1 C1 converted to ITS2 C1,SSCP of ITS1,Abrego 2009 MolEcol Highly infectious symbiont dominates,,NA,2003,NA,2006,No,spawner,hermaphrodite,,,,
9945,Favites flexuosa,ITS2,C1,21.72485509,NA,"Magnetic Island, GBR",Central Indo-Pacific,Northeast Australian Shelf,Central and Southern GBR,NA,NA,NA,-19.136908,146.842186,Normal Cond,Original pub,,ITS1 C1 converted to ITS2 C1,SSCP of ITS1,Abrego 2009 MolEcol Highly infectious symbiont dominates,,NA,2003,NA,2006,No,spawner,hermaphrodite,,,,
9947,Favites russelli,ITS2,C1,21.72485509,NA,"Magnetic Island, GBR",Central Indo-Pacific,Northeast Australian Shelf,Central and Southern GBR,NA,NA,NA,-19.136908,146.842186,Normal Cond,Original pub,,ITS1 C1 converted to ITS2 C1,SSCP of ITS1,Abrego 2009 MolEcol Highly infectious symbiont dominates,,NA,2003,NA,2006,No,spawner,hermaphrodite,,,,
2998,Fungia fungites,ITS2,C1,21.72485509,NA,Rib Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10-17',10,17,-18,147,Normal Cond,Aquarist,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,gonochore,,,,
8824,Galaxea astreata,ITS2,C1,21.72485509,NA,Heron Island,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern GBR,10,10,10,-23,152,Normal Cond,Original pub,,,DGGE of ITS2 & sequencing,LaJeunesse 2003 LimnolOceanogr Low symbiont diversity in southern Great Barrier Reef,Feb and March 2002,2,2002,3,2002,No,spawner,Mixed,,,,
3000,Galaxea fascicularis,ITS2,C1,21.72485509,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,1-8',1,8,-18,146,Normal Cond,Aquarist,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,gonochore,,,,
17330,Gardineroseris planulata,ITS2,C1,21.72485509,NA,Moorea,Eastern Indo-Pacific,Central Polynesia,Society Islands,1,1,1,-17.52095,-149.9208,Normal Conditions,Original Pub,HE578979,LG6,Cloning of ITS2 & sequencing,Putnam 2012 ProcRSocB Endosymbiotic flexibility associates with environ sensitivity,<6-2012,NA,NA,NA,NA,no,spawner,gonochore,,,,
9715,Goniastrea australensis,ITS2,C1,21.72485509,NA,Rib Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10-17',10,17,-18,147,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
9717,Goniastrea pectinata,ITS2,C1,21.72485509,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,1-8',1,8,-18,146,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
15893,Goniastrea retiformis,ITS2,C1,21.72485509,NA,Tuléar,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,,1,30,-23.3,43.6,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,3,2007,3,2007,No,spawner,hermaphrodite,,,,
17176,Goniopora columna,ITS2,C1,21.72485509,NA,Port Shelter,Central Indo-Pacific,South China Sea,Southern China,2-4,2,4,22.2,114.1667,Normal Cond,Original pub,KT862849,,Direct sequencing of ITS2,Wong 2016 RegStudMarSci Symbiodinium clade C generality among common scleractinian corals,,6,2013,8,2013,No,spawner,gonochore,,,,
9723,Goniopora djiboutiensis,ITS2,C1,21.72485509,NA,Rib Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,1-8,1,8,-18,147,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,gonochore,,,,
9957,Goniopora lobata,ITS2,C1,21.72485509,NA,"Orpheus Island, GBR",Central Indo-Pacific,Northeast Australian Shelf,Central and Southern GBR,NA,NA,NA,-18.606118,146.490845,Normal Cond,Original pub,,ITS1 C1 converted to ITS2 C1,SSCP of ITS1,Abrego 2009 MolEcol Highly infectious symbiont dominates,,NA,2003,NA,2006,No,spawner,gonochore,,,,
X35,Goniopora minor,ITS2,C1,21.72485509,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10–17,10,17,-17.5083,146.3772,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,NA,spawner,gonochore,,,,
9724,Goniopora pedunculata,ITS2,C1,21.72485509,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10–17,10,17,-17.5083,146.3772,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,gonochore,,,,
X36,Goniopora planulata,ITS2,C1,21.72485509,NA,Luhuitou Bay,Central Indo-Pacific,South China Sea,Gulf of Tonkin,1-10 m,1,10,18.2217,109.4946,Normal conditions,Original pub,,,DGGE of ITS2 & sequencing,Zhou 2011 JSysEvol Low genetic diversity of symbiotic dinoflagellates,Oct '08,10,2008,10,2008,No,spawner,gonochore,,,,
9725,Goniopora tenuidens,ITS2,C1,21.72485509,NA,Rib Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,1-8,1,8,-18,147,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,gonochore,,,,
17361,Herpolitha limax,ITS2,C1,21.72485509,NA,Moorea,Eastern Indo-Pacific,Central Polynesia,Society Islands,8,8,8,-17.47502,-149.8371,Normal Conditions,Original Pub,HE578979,FR1,Cloning of ITS2 & sequencing,Putnam 2012 ProcRSocB Endosymbiotic flexibility associates with environ sensitivity,<6-2012,NA,NA,NA,NA,no,spawner,gonochore,,,,
X37,Homophyllia australis,ITS2,C1,21.72485509,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10–17,10,17,-17.5083,146.3772,Normal Cond,Original pub,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,NA,NA,NA,,,,
9964,Hydnophora exesa,ITS2,C1,21.72485509,NA,"Magnetic Island, GBR",Central Indo-Pacific,Northeast Australian Shelf,Central and Southern GBR,NA,NA,NA,-19.136908,146.842186,Normal Cond,Original pub,,ITS1 C1 converted to ITS2 C1,SSCP of ITS1,Abrego 2009 MolEcol Highly infectious symbiont dominates,,NA,2003,NA,2006,No,spawner,hermaphrodite,,,,
3013,Hydnophora rigida,ITS2,C1,21.72485509,NA,"Zamami Island, Japan",Central Indo-Pacific,South Kuroshio,South Kuroshio,1-10,1,10,26.23463,127.3049,Normal Cond,Aquarist,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,March (2002),3,2002,3,2002,No,spawner,hermaphrodite,,,,
7670,Isopora palifera,ITS2,C1,21.72485509,NA,Chagos Archipelago,Western Indo-Pacific,Central Indian Ocean Islands,Chagos,2-7m,2,7,-6,72,Normal Cond,Direct from Publication,,Listed as Isopera palifera,DGGE of ITS2 & sequencing,Yang 2012 PLoSOne Diversity and Distribution of Symbiodinium Associated,,3,2006,3,2006,No,brooder,hermaphrodite,,,,
9730,Leptastrea pruinosa,ITS2,C1,21.72485509,NA,Rib Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,1-8,1,8,-18.478069,146.870659,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,gonochore,,,,
9732,Leptastrea purpurea,ITS2,C1,21.72485509,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,1–18,1,18,-17.5083,146.3772,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,gonochore,,,,
17387,Leptastrea transversa,ITS2,C1,21.72485509,NA,Moorea,Eastern Indo-Pacific,Central Polynesia,Society Islands,2,2,2,-17.485,-149.8341,Normal Conditions,Original Pub,HE578979,FG1,Cloning of ITS2 & sequencing,Putnam 2012 ProcRSocB Endosymbiotic flexibility associates with environ sensitivity,<6-2012,NA,NA,NA,NA,NA,spawner,gonochore,,,,
9968,Leptoria phrygia,ITS2,C1,21.72485509,NA,"Orpheus Island, GBR",Central Indo-Pacific,Northeast Australian Shelf,Central and Southern GBR,NA,NA,NA,-18.606118,146.490845,Normal Cond,Original pub,,ITS1 C1 converted to ITS2 C1,SSCP of ITS1,Abrego 2009 MolEcol Highly infectious symbiont dominates,,NA,2003,NA,2006,No,spawner,hermaphrodite,,,,
X38,Leptoseris hawaiiensis,ITS2,C1,21.72485509,NA,Ribbon Reefs,Central Indo-Pacific,Northeast Australian Shelf,Torres Strait Northern Great Barrier Reef,,46,70,-15.63,145.8,Normal Cond,Original pub,,,DGGE of ITS2 & sequencing,Bongaerts 2011 MEPS Symbiodinium diversity in mesophotic coral community,Sept-Oct 2007,9,2007,10,2007,No,spawner,gonochore,,,,
X39,Leptoseris amitoriensis,ITS2,C1,21.72485509,NA, Al Fahal Reef,Western Indo-Pacific,Red Sea and Gulf of Aden,Northern and Central Red Sea,60,60,60,22.3,38.96,Normal,Original Publication,,,DGGE of ITS2 & sequencing,Ziegler 2015 FrontMarSci Mesophotic coral depth acclimatization is a function,9/12/16,9,2012,9,2012,No,spawner,gonochore,,,,
X40,Leptoseris foliosa ,ITS2,C1,21.72485509,NA, Al Fahal Reef,Western Indo-Pacific,Red Sea and Gulf of Aden,Northern and Central Red Sea,60,60,60,22.3,38.96,Normal,Original Publication,,,DGGE of ITS2 & sequencing,Ziegler 2015 FrontMarSci Mesophotic coral depth acclimatization is a function,9/12/16,9,2012,9,2012,No,spawner,gonochore,,,,
X41,Leptoseris incrustans,ITS2,C1,21.72485509,NA,Oahu,Eastern Indo-Pacific,Hawaii,Hawaii,10-20,10,20,21.4667,-157.9833,Normal Cond,Original pub,,"Article does not say where each sample was from, but all sites (Kaneohe Bay, Haleiwa Trench, and Wailua Bay) are off the island of Oahu",DGGE of ITS2 & sequencing,LaJeunesse 2004 CoralReefs High diversity and host specificity observed among symbiotic,<10-2003,NA,NA,NA,NA,No,spawner,gonochore,,,,
X42,Leptoseris mycetoseroides,ITS2,C1,21.72485509,NA,Moorea,Eastern Indo-Pacific,Central Polynesia,Society Islands,8,8,8,-17.485,-149.8341,Normal Conditions,Original Pub,,FG4,Cloning of ITS2 & sequencing,Putnam 2012 ProcRSocB Endosymbiotic flexibility associates with environ sensitivity,<6-2012,NA,NA,NA,NA,NA,NA,NA,,,,
17184,Leptoseris papyracea,ITS2,C1,21.72485509,NA,Au'au Channel between Maui and Lana'i,Eastern Indo-Pacific,Hawaii,Hawaii,87,87,87,20.9495,156.7517,Normal Cond,Original pub,,Converted from COI,Direct sequencing of COI & cloning of ITS2 & sequencing,Pochon 2015 RoySocOpenSci Depth specialization in in mesophotic corals,1/17/10,1,2010,1,2010,No,spawner,gonochore,,,,
X43,Leptoseris scabra,ITS2,C1,21.72485509,NA,Au'au Channel between Maui and Lana'i,Eastern Indo-Pacific,Hawaii,Hawaii,87,87,87,20.9495,156.7517,Normal Cond,Original pub,,Converted from COI,Direct sequencing of COI & cloning of ITS2 & sequencing,Pochon 2015 RoySocOpenSci Depth specialization in in mesophotic corals,1/17/10,1,2010,1,2010,No,spawner,gonochore,,,,
X44,Leptoseris tubulifera,ITS2,C1,21.72485509,NA,Au'au Channel between Maui and Lana'i,Eastern Indo-Pacific,Hawaii,Hawaii,87,87,87,20.9495,156.7517,Normal Cond,Original pub,,Converted from COI,Direct sequencing of COI & cloning of ITS2 & sequencing,Pochon 2015 RoySocOpenSci Depth specialization in in mesophotic corals,1/17/10,1,2010,1,2010,No,spawner,gonochore,,,,
9734,Leptoseris yabei,ITS2,C1,21.72485509,NA,Rib Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,1-8,1,8,-18.478069,146.870659,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,gonochore,,,,
17289,Lithophyllon concinna,ITS2,C1,21.72485509,NA,Moorea,Eastern Indo-Pacific,Central Polynesia,Society Islands,4,4,4,-17.485,-149.8341,Normal Conditions,Original Pub,,FG2,Cloning of ITS2 & sequencing,Putnam 2012 ProcRSocB Endosymbiotic flexibility associates with environ sensitivity,<6-2012,NA,NA,NA,NA,no,spawner,gonochore,,,,
X45,Lithophyllon undulatum,ITS2,C1,21.72485509,NA,Port Shelter,Central Indo-Pacific,South China Sea,Southern China,3-5,3,5,22.2,114.1667,Normal Conditions,Original pub,,,Direct sequencing of ITS2,Wong 2016 RegStudMarSci Symbiodinium clade C generality among common scleractinian corals,,6,2013,8,2013,No,spawner,gonochore,,,,
9736,Lobactis scutaria,ITS2,C1,21.72485509,NA,"Zamami Island, Japan",Central Indo-Pacific,South Kuroshio,South Kuroshio,1-10,1,10,26.23463,127.3049,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,March (2002),3,2002,3,2002,no,spawner,gonochore,,,,
9969,Lobophyllia hemprichii,ITS2,C1,21.72485509,NA,"Magnetic Island, GBR",Central Indo-Pacific,Northeast Australian Shelf,Central and Southern GBR,NA,NA,NA,-19.136908,146.842186,Normal Cond,Original pub,,ITS1 C1 converted to ITS2 C1,SSCP of ITS1,Abrego 2009 MolEcol Highly infectious symbiont dominates,,NA,2003,NA,2006,No,spawner,hermaphrodite,,,,
8879,Manicina areolata,ITS2,C1,21.72485509,1,"Puerto Morelos, Yucatan, Mexico",Tropical Atlantic,Tropical Northwestern Atlantic,Southern Gulf of Mexico,2.5,3,3,21,-87,Normal Cond,Riddle 2011,NA,,DGGE of ITS2 & sequencing,LaJeunesse 2002 MarBiol Diversity and community structure of symbiotic dinoflagellates,"Aug 1998, Sep 1999",8,1998,9,1999,yes,brooder,hermaphrodite,,,,
9739,Merulina ampliata,ITS2,C1,21.72485509,NA,Feather Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,1-8',1,8,-18,146,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
3021,Merulina scabricula,ITS2,C1,21.72485509,NA,Curaçao Island,Central Indo-Pacific,Northeast Australian Shelf,"Central and Southern Great
Barrier Reef",1-6,1,6,-18.67,146.549,Normal Cond,Aquarist,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,hermaphrodite,,,,
16887,Montipora capitata,ITS2,C1,21.72485509,NA,Laysan,Eastern Indo-Pacific,Hawaii,Hawaii,10-20',10,20,25.9,-172,Normal Conditions,Original pub,,,Cloning of ITS2 & sequencing,Stat 2015 CoralReefs Geographic structure and host specificity,2005-2009,NA,2005,NA,2009,Yes,spawner,hermaphrodite,,,,
9980,Montipora danae,ITS2,C1,21.72485509,NA,"Orpheus Island, GBR",Central Indo-Pacific,Northeast Australian Shelf,Central and Southern GBR,NA,NA,NA,-18.606118,146.490845,Normal Cond,Original pub,,ITS1 C1 converted to ITS2 C1,SSCP of ITS1,Abrego 2009 MolEcol Highly infectious symbiont dominates,,NA,2003,NA,2006,Yes,spawner,hermaphrodite,,,,
9981,Montipora peltiformis,ITS2,C1,21.72485509,NA,"Orpheus Island, GBR",Central Indo-Pacific,Northeast Australian Shelf,Central and Southern GBR,NA,NA,NA,-18.606118,146.490845,Normal Cond,Original pub,,ITS1 C1 converted to ITS2 C1,SSCP of ITS1,Abrego 2009 MolEcol Highly infectious symbiont dominates,,NA,2003,NA,2006,Yes,spawner,hermaphrodite,,,,
9982,Mycedium elephantotus,ITS2,C1,21.72485509,NA,"Magnetic Island, GBR",Central Indo-Pacific,Northeast Australian Shelf,Central and Southern GBR,NA,NA,NA,-19.136908,146.842186,Normal Cond,Original pub,,ITS1 C1 converted to ITS2 C1,SSCP of ITS1,Abrego 2009 MolEcol Highly infectious symbiont dominates,,NA,2003,NA,2006,No,spawner,hermaphrodite,,,,
18924,Orbicella annularis,ITS2,C1,21.72485509,NA,"Sandy Bay, Honduras",Tropical Atlantic,Tropical Northwestern Atlantic,Western Caribbean,,2,6,16.3268,-86.5632,Normal Cond,Original publication,,,"DGGE of ITS2 & sequencing, RT-PCR of LSU",Kennedy 2015 CoralReefs Widespread prevalence of cryptic Symbiodinium D in O annularis,10/1/04,10,2004,10,2004,No,spawner,hermaphrodite,,,,
X46,Orbicella franksi,ITS2,C1,21.72485509,NA,USVI,Tropical Atlantic,Tropical Northwestern Atlantic,Eastern Caribbean,NA,NA,NA,18.3,-64.8,Normal Cond,Original publication,,,"DGGE of ITS2 & sequencing, RT-PCR of LSU",Correa 2009 CoralReefs Understanding diversity in coral-algae symbiosis ,,4,2006,9,2006,No,spawner,hermaphrodite,,,,
X47,Oulastrea crispata,ITS2,C1,21.72485509,NA,Port Shelter,Central Indo-Pacific,South China Sea,Southern China,2-4,2,4,22.2,114.1667,Normal Conditions,Original pub,,,Direct sequencing of ITS2,Wong 2016 RegStudMarSci Symbiodinium clade C generality among common scleractinian corals,,6,2013,8,2013,No,spawner,gonochore,,,,
9986,Pachyseris rugosa,ITS2,C1,21.72485509,NA,"Magnetic Island, GBR",Central Indo-Pacific,Northeast Australian Shelf,Central and Southern GBR,NA,NA,NA,-19.136908,146.842186,Normal Cond,Original pub,,ITS1 C1 converted to ITS2 C1,SSCP of ITS1,Abrego 2009 MolEcol Highly infectious symbiont dominates,,NA,2003,NA,2006,No,spawner,gonochore,,,,
17426,Pachyseris speciosa,ITS2,C1,21.72485509,NA,Moorea,Eastern Indo-Pacific,Central Polynesia,Society Islands,20,20,20,-17.48283,-149.8571,Normal Conditions,Original Pub,HE578979,RG,Cloning of ITS2 & sequencing,Putnam 2012 ProcRSocB Endosymbiotic flexibility associates with environ sensitivity,<6-2012,NA,NA,NA,NA,no,spawner,gonochore,,,,
9768,Palauastrea ramosa,ITS2,C1,21.72485509,NA,"Zamami Island, Japan",Central Indo-Pacific,South Kuroshio,South Kuroshio,1-10,1,10,26.234633,127.304912,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,March (2002),3,2002,3,2002,No,spawner,hermaphrodite,,,,
X48,Paramontastraea peresi,ITS2,C1,21.72485509,NA,Banda Kuu ,Western Indo-Pacific,Western Indian Ocean,East African Coral Coast,3-12,3,12,-5.730116,39.303497,Normal Cond,Original pub,,,DGGE of ITS2 & sequencing,LaJeunesse 2010 JBiogeograph Long-standing environmental conditions isolation and host–symbiont specificity,4/1/07,4,2007,4,2007,No,spawner,hermaphrodite,,,,
17440,Pavona cactus,ITS2,C1,21.72485509,NA,Moorea,Eastern Indo-Pacific,Central Polynesia,Society Islands,3,3,3,-17.579,-149.8642,Normal Conditions,Original Pub,HE578979,FG5,Cloning of ITS2 & sequencing,Putnam 2012 ProcRSocB Endosymbiotic flexibility associates with environ sensitivity,<6-2012,NA,NA,NA,NA,No,spawner,gonochore,,,,
17101,Pavona decussata,ITS2,C1,21.72485509,NA,Port Shelter,Central Indo-Pacific,South China Sea,Southern China,1-3,1,3,22.2,114.1667,from SWIMS mesocosm,Original pub,KT862854,,Direct sequencing of ITS2,Wong 2016 RegStudMarSci Symbiodinium clade C generality among common scleractinian corals,,6,2013,8,2013,No,spawner,gonochore,,,,
16736,Pavona duerdeni,ITS2,C1,21.72485509,No,French Frigate Shoals,Eastern Indo-Pacific,Hawaii,Hawaii,0-10',0,10,23.75916667,-164.8066667,Normal Conditions,Original pub,,,Cloning of ITS2 & sequencing,Stat 2015 CoralReefs Geographic structure and host specificity,2005-2009,NA,2005,NA,2009,NA,spawner,gonochore,,,,
15796,Pavona explanulata,ITS2,C1,21.72485509,NA,Tuléar,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,,1,30,-23.3,43.6,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,9,2001,9,2001,No,spawner,gonochore,,,,
15505,Pavona varians,ITS2,C1,21.72485509,NA,Nosy Bé,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,,1,30,-13.4,48,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,9,2001,9,2001,No,spawner,gonochore,,,,
15952,Pavona venosa,ITS2,C1,21.72485509,NA,Tuléar,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,,1,30,-23.3,43.6,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,11,2009,11,2009,No,spawner,gonochore,,,,
17133,Platygyra acuta,ITS2,C1,21.72485509,NA,Port Shelter,Central Indo-Pacific,South China Sea,Southern China,2-4,2,4,22.2,114.1667,Normal Cond,Original pub,KT862851,,Direct sequencing of ITS2,Wong 2016 RegStudMarSci Symbiodinium clade C generality among common scleractinian corals,,6,2013,8,2013,No,spawner,hermaphrodite,,,,
X49,Platygyra carnosa,ITS2,C1,21.72485509,NA,Port Shelter,Central Indo-Pacific,South China Sea,Southern China,2-4,2,4,22.2,114.1667,Normal Conditions,Original pub,,,Direct sequencing of ITS2,Wong 2016 RegStudMarSci Symbiodinium clade C generality among common scleractinian corals,,6,2013,8,2013,NA,NA,NA,,,,
9993,Platygyra daedalea,ITS2,C1,21.72485509,NA,"Magnetic Island, GBR",Central Indo-Pacific,Northeast Australian Shelf,Central and Southern GBR,NA,NA,NA,-19.136908,146.842186,Normal Cond,Original pub,,ITS1 C1 converted to ITS2 C1,SSCP of ITS1,Abrego 2009 MolEcol Highly infectious symbiont dominates,,NA,2003,NA,2006,No,spawner,hermaphrodite,,,,
15817,Platygyra pini,ITS2,C1,21.72485509,NA,Tuléar,Western Indo-Pacific,Western Indian Ocean,Western and Northern Madagascar,,1,30,-23.3,43.6,Normal conditions,Original publication,,collected at SCUBA depths,DGGE of ITS2 & sequencing,Boonstra 2011 Diss Latitudinal Patterns in the Distribution of Algal  Symbionts,,9,2001,9,2001,No,spawner,hermaphrodite,,,,
9779,Plerogyra sinuosa,ITS2,C1,21.72485509,NA,Rib Reef GBR,Central Indo-Pacific,Northeast Australian Shelf,Central and Southern Great Barrier Reef,10-17,10,17,-18.478069,146.870659,Normal Cond,Riddle 2011,,,DGGE of ITS2 & sequencing,LaJeunesse 2004 MEPS Closely related Symbiodinium spp differ in relative dominance,May (2003),5,2003,5,2003,No,spawner,gonochore,,,,
9998,Plesiastrea versipora,ITS2,C1,21.72485509,NA,"Magnetic Island, GBR",Central Indo-Pacific,Northeast Australian Shelf,Central and Southern GBR,NA,NA,NA,-19.136908,146.842186,Normal Cond,Original pub,,ITS1 C1 converted to ITS2 C1,SSCP of ITS1,Abrego 2009 MolEcol Highly infectious symbiont dominates,,NA,2003,NA,2006,No,spawner,gonochore,,,,
